split_id,date,model,seed,selected_tickers,expected_top3_tickers,selection_matches_score_rank
split_00_2018-12,2018-12-07,logistic_regression,42,"XLK,XLV,XLY","XLK,XLV,XLY",True
split_00_2018-12,2018-12-14,logistic_regression,42,"XLV,XLK,XLE","XLV,XLK,XLE",True
split_00_2018-12,2018-12-21,logistic_regression,42,"XLC,XLK,XLRE","XLC,XLK,XLRE",True
split_00_2018-12,2018-12-31,logistic_regression,42,"XLU,XLC,XLRE","XLU,XLC,XLRE",True
split_01_2019-01,2019-01-08,logistic_regression,42,"XLK,XLV,XLE","XLK,XLV,XLE",True
split_01_2019-01,2019-01-15,logistic_regression,42,"XLB,XLE,XLP","XLB,XLE,XLP",True
split_01_2019-01,2019-01-23,logistic_regression,42,"XLC,XLB,XLRE","XLC,XLB,XLRE",True
split_01_2019-01,2019-01-30,logistic_regression,42,"XLU,XLP,XLF","XLU,XLP,XLF",True
split_02_2019-02,2019-02-06,logistic_regression,42,"XLC,XLRE,XLE","XLC,XLRE,XLE",True
split_02_2019-02,2019-02-13,logistic_regression,42,"XLU,XLF,XLV","XLU,XLF,XLV",True
split_02_2019-02,2019-02-21,logistic_regression,42,"XLC,XLY,XLB","XLC,XLY,XLB",True
split_02_2019-02,2019-02-28,logistic_regression,42,"XLY,XLK,XLE","XLY,XLK,XLE",True
split_03_2019-03,2019-03-07,logistic_regression,42,"XLC,XLV,XLF","XLC,XLV,XLF",True
split_03_2019-03,2019-03-14,logistic_regression,42,"XLI,XLY,XLC","XLI,XLY,XLC",True
split_03_2019-03,2019-03-21,logistic_regression,42,"XLV,XLF,XLI","XLV,XLF,XLI",True
split_03_2019-03,2019-03-28,logistic_regression,42,"XLF,XLV,XLC","XLF,XLV,XLC",True
split_00_2018-12,2018-12-07,naive_momentum,42,"XLU,XLRE,XLV","XLU,XLRE,XLV",True
split_00_2018-12,2018-12-14,naive_momentum,42,"XLU,XLRE,XLV","XLU,XLRE,XLV",True
split_00_2018-12,2018-12-21,naive_momentum,42,"XLU,XLRE,XLV","XLU,XLRE,XLV",True
split_00_2018-12,2018-12-31,naive_momentum,42,"XLU,XLRE,XLB","XLU,XLRE,XLB",True
split_01_2019-01,2019-01-08,naive_momentum,42,"XLC,XLY,XLB","XLC,XLY,XLB",True
split_01_2019-01,2019-01-15,naive_momentum,42,"XLF,XLY,XLC","XLF,XLY,XLC",True
split_01_2019-01,2019-01-23,naive_momentum,42,"XLF,XLY,XLI","XLF,XLY,XLI",True
split_01_2019-01,2019-01-30,naive_momentum,42,"XLI,XLE,XLRE","XLI,XLE,XLRE",True
split_02_2019-02,2019-02-06,naive_momentum,42,"XLI,XLK,XLRE","XLI,XLK,XLRE",True
split_02_2019-02,2019-02-13,naive_momentum,42,"XLI,XLK,XLRE","XLI,XLK,XLRE",True
split_02_2019-02,2019-02-21,naive_momentum,42,"XLI,XLK,XLRE","XLI,XLK,XLRE",True
split_02_2019-02,2019-02-28,naive_momentum,42,"XLI,XLK,XLU","XLI,XLK,XLU",True
split_03_2019-03,2019-03-07,naive_momentum,42,"XLU,XLB,XLK","XLU,XLB,XLK",True
split_03_2019-03,2019-03-14,naive_momentum,42,"XLU,XLK,XLRE","XLU,XLK,XLRE",True
split_03_2019-03,2019-03-21,naive_momentum,42,"XLK,XLC,XLRE","XLK,XLC,XLRE",True
split_03_2019-03,2019-03-28,naive_momentum,42,"XLRE,XLK,XLP","XLRE,XLK,XLP",True
split_00_2018-12,2018-12-07,pennylane_qnn,42,"XLP,XLV,XLC","XLP,XLV,XLC",True
split_00_2018-12,2018-12-14,pennylane_qnn,42,"XLP,XLK,XLV","XLP,XLK,XLV",True
split_00_2018-12,2018-12-21,pennylane_qnn,42,"XLE,XLK,XLC","XLE,XLK,XLC",True
split_00_2018-12,2018-12-31,pennylane_qnn,42,"XLRE,XLB,XLP","XLRE,XLB,XLP",True
split_01_2019-01,2019-01-08,pennylane_qnn,42,"XLI,XLF,XLY","XLI,XLF,XLY",True
split_01_2019-01,2019-01-15,pennylane_qnn,42,"XLI,XLF,XLK","XLI,XLF,XLK",True
split_01_2019-01,2019-01-23,pennylane_qnn,42,"XLE,XLY,XLI","XLE,XLY,XLI",True
split_01_2019-01,2019-01-30,pennylane_qnn,42,"XLY,XLF,XLK","XLY,XLF,XLK",True
split_02_2019-02,2019-02-06,pennylane_qnn,42,"XLF,XLC,XLP","XLF,XLC,XLP",True
split_02_2019-02,2019-02-13,pennylane_qnn,42,"XLB,XLE,XLU","XLB,XLE,XLU",True
split_02_2019-02,2019-02-21,pennylane_qnn,42,"XLE,XLB,XLU","XLE,XLB,XLU",True
split_02_2019-02,2019-02-28,pennylane_qnn,42,"XLE,XLV,XLU","XLE,XLV,XLU",True
split_03_2019-03,2019-03-07,pennylane_qnn,42,"XLI,XLF,XLY","XLI,XLF,XLY",True
split_03_2019-03,2019-03-14,pennylane_qnn,42,"XLRE,XLU,XLE","XLRE,XLU,XLE",True
split_03_2019-03,2019-03-21,pennylane_qnn,42,"XLE,XLB,XLRE","XLE,XLB,XLRE",True
split_03_2019-03,2019-03-28,pennylane_qnn,42,"XLY,XLU,XLP","XLY,XLU,XLP",True
split_00_2018-12,2018-12-07,random_forest,42,"XLC,XLI,XLF","XLC,XLI,XLF",True
split_00_2018-12,2018-12-14,random_forest,42,"XLI,XLE,XLY","XLI,XLE,XLY",True
split_00_2018-12,2018-12-21,random_forest,42,"XLI,XLF,XLY","XLI,XLF,XLY",True
split_00_2018-12,2018-12-31,random_forest,42,"XLC,XLK,XLU","XLC,XLK,XLU",True
split_01_2019-01,2019-01-08,random_forest,42,"XLU,XLF,XLK","XLU,XLF,XLK",True
split_01_2019-01,2019-01-15,random_forest,42,"XLI,XLE,XLRE","XLI,XLE,XLRE",True
split_01_2019-01,2019-01-23,random_forest,42,"XLE,XLF,XLV","XLE,XLF,XLV",True
split_01_2019-01,2019-01-30,random_forest,42,"XLB,XLRE,XLF","XLB,XLRE,XLF",True
split_02_2019-02,2019-02-06,random_forest,42,"XLC,XLP,XLF","XLC,XLP,XLF",True
split_02_2019-02,2019-02-13,random_forest,42,"XLE,XLB,XLC","XLE,XLB,XLC",True
split_02_2019-02,2019-02-21,random_forest,42,"XLF,XLB,XLP","XLF,XLB,XLP",True
split_02_2019-02,2019-02-28,random_forest,42,"XLRE,XLF,XLV","XLRE,XLF,XLV",True
split_03_2019-03,2019-03-07,random_forest,42,"XLP,XLU,XLC","XLP,XLU,XLC",True
split_03_2019-03,2019-03-14,random_forest,42,"XLE,XLRE,XLF","XLE,XLRE,XLF",True
split_03_2019-03,2019-03-21,random_forest,42,"XLU,XLP,XLE","XLU,XLP,XLE",True
split_03_2019-03,2019-03-28,random_forest,42,"XLF,XLB,XLY","XLF,XLB,XLY",True
split_00_2018-12,2018-12-07,rbf_svm,42,"XLC,XLI,XLY","XLC,XLI,XLY",True
split_00_2018-12,2018-12-14,rbf_svm,42,"XLK,XLY,XLE","XLK,XLY,XLE",True
split_00_2018-12,2018-12-21,rbf_svm,42,"XLY,XLP,XLI","XLY,XLP,XLI",True
split_00_2018-12,2018-12-31,rbf_svm,42,"XLC,XLF,XLI","XLC,XLF,XLI",True
split_01_2019-01,2019-01-08,rbf_svm,42,"XLF,XLC,XLI","XLF,XLC,XLI",True
split_01_2019-01,2019-01-15,rbf_svm,42,"XLI,XLP,XLRE","XLI,XLP,XLRE",True
split_01_2019-01,2019-01-23,rbf_svm,42,"XLE,XLRE,XLI","XLE,XLRE,XLI",True
split_01_2019-01,2019-01-30,rbf_svm,42,"XLF,XLB,XLC","XLF,XLB,XLC",True
split_02_2019-02,2019-02-06,rbf_svm,42,"XLP,XLC,XLF","XLP,XLC,XLF",True
split_02_2019-02,2019-02-13,rbf_svm,42,"XLB,XLI,XLRE","XLB,XLI,XLRE",True
split_02_2019-02,2019-02-21,rbf_svm,42,"XLB,XLE,XLU","XLB,XLE,XLU",True
split_02_2019-02,2019-02-28,rbf_svm,42,"XLB,XLV,XLP","XLB,XLV,XLP",True
split_03_2019-03,2019-03-07,rbf_svm,42,"XLI,XLY,XLE","XLI,XLY,XLE",True
split_03_2019-03,2019-03-14,rbf_svm,42,"XLRE,XLV,XLF","XLRE,XLV,XLF",True
split_03_2019-03,2019-03-21,rbf_svm,42,"XLP,XLU,XLI","XLP,XLU,XLI",True
split_03_2019-03,2019-03-28,rbf_svm,42,"XLU,XLF,XLB","XLU,XLF,XLB",True
split_00_2018-12,2018-12-07,ridge_linear,42,"XLK,XLV,XLY","XLK,XLV,XLY",True
split_00_2018-12,2018-12-14,ridge_linear,42,"XLV,XLK,XLE","XLV,XLK,XLE",True
split_00_2018-12,2018-12-21,ridge_linear,42,"XLC,XLK,XLRE","XLC,XLK,XLRE",True
split_00_2018-12,2018-12-31,ridge_linear,42,"XLU,XLC,XLRE","XLU,XLC,XLRE",True
split_01_2019-01,2019-01-08,ridge_linear,42,"XLK,XLV,XLE","XLK,XLV,XLE",True
split_01_2019-01,2019-01-15,ridge_linear,42,"XLB,XLE,XLP","XLB,XLE,XLP",True
split_01_2019-01,2019-01-23,ridge_linear,42,"XLC,XLB,XLRE","XLC,XLB,XLRE",True
split_01_2019-01,2019-01-30,ridge_linear,42,"XLU,XLP,XLC","XLU,XLP,XLC",True
split_02_2019-02,2019-02-06,ridge_linear,42,"XLC,XLRE,XLE","XLC,XLRE,XLE",True
split_02_2019-02,2019-02-13,ridge_linear,42,"XLU,XLF,XLV","XLU,XLF,XLV",True
split_02_2019-02,2019-02-21,ridge_linear,42,"XLC,XLY,XLB","XLC,XLY,XLB",True
split_02_2019-02,2019-02-28,ridge_linear,42,"XLY,XLK,XLE","XLY,XLK,XLE",True
split_03_2019-03,2019-03-07,ridge_linear,42,"XLC,XLV,XLF","XLC,XLV,XLF",True
split_03_2019-03,2019-03-14,ridge_linear,42,"XLI,XLY,XLC","XLI,XLY,XLC",True
split_03_2019-03,2019-03-21,ridge_linear,42,"XLV,XLF,XLI","XLV,XLF,XLI",True
split_03_2019-03,2019-03-28,ridge_linear,42,"XLF,XLV,XLC","XLF,XLV,XLC",True
split_00_2018-12,2018-12-07,small_mlp,42,"XLV,XLRE,XLK","XLV,XLRE,XLK",True
split_00_2018-12,2018-12-14,small_mlp,42,"XLV,XLK,XLE","XLV,XLK,XLE",True
split_00_2018-12,2018-12-21,small_mlp,42,"XLC,XLK,XLRE","XLC,XLK,XLRE",True
split_00_2018-12,2018-12-31,small_mlp,42,"XLU,XLRE,XLC","XLU,XLRE,XLC",True
split_01_2019-01,2019-01-08,small_mlp,42,"XLF,XLY,XLB","XLF,XLY,XLB",True
split_01_2019-01,2019-01-15,small_mlp,42,"XLB,XLI,XLF","XLB,XLI,XLF",True
split_01_2019-01,2019-01-23,small_mlp,42,"XLE,XLC,XLY","XLE,XLC,XLY",True
split_01_2019-01,2019-01-30,small_mlp,42,"XLF,XLRE,XLI","XLF,XLRE,XLI",True
split_02_2019-02,2019-02-06,small_mlp,42,"XLC,XLRE,XLI","XLC,XLRE,XLI",True
split_02_2019-02,2019-02-13,small_mlp,42,"XLI,XLK,XLU","XLI,XLK,XLU",True
split_02_2019-02,2019-02-21,small_mlp,42,"XLI,XLE,XLK","XLI,XLE,XLK",True
split_02_2019-02,2019-02-28,small_mlp,42,"XLI,XLK,XLE","XLI,XLK,XLE",True
split_03_2019-03,2019-03-07,small_mlp,42,"XLC,XLF,XLY","XLC,XLF,XLY",True
split_03_2019-03,2019-03-14,small_mlp,42,"XLB,XLC,XLU","XLB,XLC,XLU",True
split_03_2019-03,2019-03-21,small_mlp,42,"XLV,XLC,XLU","XLV,XLC,XLU",True
split_03_2019-03,2019-03-28,small_mlp,42,"XLU,XLC,XLK","XLU,XLC,XLK",True
split_00_2018-12,2018-12-07,xgboost,42,"XLC,XLF,XLP","XLC,XLF,XLP",True
split_00_2018-12,2018-12-14,xgboost,42,"XLI,XLRE,XLP","XLI,XLRE,XLP",True
split_00_2018-12,2018-12-21,xgboost,42,"XLF,XLI,XLV","XLF,XLI,XLV",True
split_00_2018-12,2018-12-31,xgboost,42,"XLP,XLC,XLRE","XLP,XLC,XLRE",True
split_01_2019-01,2019-01-08,xgboost,42,"XLF,XLI,XLK","XLF,XLI,XLK",True
split_01_2019-01,2019-01-15,xgboost,42,"XLI,XLE,XLRE","XLI,XLE,XLRE",True
split_01_2019-01,2019-01-23,xgboost,42,"XLP,XLV,XLE","XLP,XLV,XLE",True
split_01_2019-01,2019-01-30,xgboost,42,"XLV,XLB,XLP","XLV,XLB,XLP",True
split_02_2019-02,2019-02-06,xgboost,42,"XLK,XLC,XLF","XLK,XLC,XLF",True
split_02_2019-02,2019-02-13,xgboost,42,"XLC,XLB,XLE","XLC,XLB,XLE",True
split_02_2019-02,2019-02-21,xgboost,42,"XLP,XLI,XLY","XLP,XLI,XLY",True
split_02_2019-02,2019-02-28,xgboost,42,"XLRE,XLC,XLK","XLRE,XLC,XLK",True
split_03_2019-03,2019-03-07,xgboost,42,"XLRE,XLC,XLY","XLRE,XLC,XLY",True
split_03_2019-03,2019-03-14,xgboost,42,"XLE,XLF,XLV","XLE,XLF,XLV",True
split_03_2019-03,2019-03-21,xgboost,42,"XLY,XLU,XLP","XLY,XLU,XLP",True
split_03_2019-03,2019-03-28,xgboost,42,"XLV,XLF,XLB","XLV,XLF,XLB",True
