split_id,date,model,seed,selected_tickers,expected_top3_tickers,selection_matches_score_rank
split_00_2018-12,2018-12-07,logistic_regression,42,"XLK,XLY,XLV","XLK,XLY,XLV",True
split_00_2018-12,2018-12-14,logistic_regression,42,"XLV,XLK,XLE","XLV,XLK,XLE",True
split_00_2018-12,2018-12-21,logistic_regression,42,"XLK,XLC,XLY","XLK,XLC,XLY",True
split_00_2018-12,2018-12-31,logistic_regression,42,"XLU,XLRE,XLC","XLU,XLRE,XLC",True
split_01_2019-01,2019-01-08,logistic_regression,42,"XLF,XLE,XLV","XLF,XLE,XLV",True
split_01_2019-01,2019-01-15,logistic_regression,42,"XLB,XLI,XLE","XLB,XLI,XLE",True
split_01_2019-01,2019-01-23,logistic_regression,42,"XLE,XLB,XLC","XLE,XLB,XLC",True
split_01_2019-01,2019-01-30,logistic_regression,42,"XLF,XLP,XLU","XLF,XLP,XLU",True
split_02_2019-02,2019-02-06,logistic_regression,42,"XLC,XLRE,XLE","XLC,XLRE,XLE",True
split_02_2019-02,2019-02-13,logistic_regression,42,"XLU,XLC,XLK","XLU,XLC,XLK",True
split_02_2019-02,2019-02-21,logistic_regression,42,"XLE,XLC,XLV","XLE,XLC,XLV",True
split_02_2019-02,2019-02-28,logistic_regression,42,"XLB,XLE,XLY","XLB,XLE,XLY",True
split_03_2019-03,2019-03-07,logistic_regression,42,"XLY,XLF,XLK","XLY,XLF,XLK",True
split_03_2019-03,2019-03-14,logistic_regression,42,"XLB,XLC,XLI","XLB,XLC,XLI",True
split_03_2019-03,2019-03-21,logistic_regression,42,"XLF,XLV,XLE","XLF,XLV,XLE",True
split_03_2019-03,2019-03-28,logistic_regression,42,"XLU,XLC,XLV","XLU,XLC,XLV",True
split_00_2018-12,2018-12-07,naive_momentum,42,"XLU,XLRE,XLV","XLU,XLRE,XLV",True
split_00_2018-12,2018-12-14,naive_momentum,42,"XLU,XLRE,XLV","XLU,XLRE,XLV",True
split_00_2018-12,2018-12-21,naive_momentum,42,"XLU,XLRE,XLV","XLU,XLRE,XLV",True
split_00_2018-12,2018-12-31,naive_momentum,42,"XLU,XLRE,XLB","XLU,XLRE,XLB",True
split_01_2019-01,2019-01-08,naive_momentum,42,"XLC,XLY,XLB","XLC,XLY,XLB",True
split_01_2019-01,2019-01-15,naive_momentum,42,"XLF,XLY,XLC","XLF,XLY,XLC",True
split_01_2019-01,2019-01-23,naive_momentum,42,"XLF,XLY,XLI","XLF,XLY,XLI",True
split_01_2019-01,2019-01-30,naive_momentum,42,"XLI,XLE,XLRE","XLI,XLE,XLRE",True
split_02_2019-02,2019-02-06,naive_momentum,42,"XLI,XLK,XLRE","XLI,XLK,XLRE",True
split_02_2019-02,2019-02-13,naive_momentum,42,"XLI,XLK,XLRE","XLI,XLK,XLRE",True
split_02_2019-02,2019-02-21,naive_momentum,42,"XLI,XLK,XLRE","XLI,XLK,XLRE",True
split_02_2019-02,2019-02-28,naive_momentum,42,"XLI,XLK,XLU","XLI,XLK,XLU",True
split_03_2019-03,2019-03-07,naive_momentum,42,"XLU,XLB,XLK","XLU,XLB,XLK",True
split_03_2019-03,2019-03-14,naive_momentum,42,"XLU,XLK,XLRE","XLU,XLK,XLRE",True
split_03_2019-03,2019-03-21,naive_momentum,42,"XLK,XLC,XLRE","XLK,XLC,XLRE",True
split_03_2019-03,2019-03-28,naive_momentum,42,"XLRE,XLK,XLP","XLRE,XLK,XLP",True
split_00_2018-12,2018-12-07,pennylane_qnn,42,"XLB,XLC,XLF","XLB,XLC,XLF",True
split_00_2018-12,2018-12-14,pennylane_qnn,42,"XLK,XLF,XLY","XLK,XLF,XLY",True
split_00_2018-12,2018-12-21,pennylane_qnn,42,"XLB,XLP,XLF","XLB,XLP,XLF",True
split_00_2018-12,2018-12-31,pennylane_qnn,42,"XLP,XLRE,XLB","XLP,XLRE,XLB",True
split_01_2019-01,2019-01-08,pennylane_qnn,42,"XLC,XLK,XLU","XLC,XLK,XLU",True
split_01_2019-01,2019-01-15,pennylane_qnn,42,"XLE,XLRE,XLY","XLE,XLRE,XLY",True
split_01_2019-01,2019-01-23,pennylane_qnn,42,"XLRE,XLB,XLK","XLRE,XLB,XLK",True
split_01_2019-01,2019-01-30,pennylane_qnn,42,"XLC,XLE,XLP","XLC,XLE,XLP",True
split_02_2019-02,2019-02-06,pennylane_qnn,42,"XLI,XLF,XLC","XLI,XLF,XLC",True
split_02_2019-02,2019-02-13,pennylane_qnn,42,"XLB,XLE,XLC","XLB,XLE,XLC",True
split_02_2019-02,2019-02-21,pennylane_qnn,42,"XLE,XLF,XLV","XLE,XLF,XLV",True
split_02_2019-02,2019-02-28,pennylane_qnn,42,"XLRE,XLV,XLE","XLRE,XLV,XLE",True
split_03_2019-03,2019-03-07,pennylane_qnn,42,"XLB,XLC,XLE","XLB,XLC,XLE",True
split_03_2019-03,2019-03-14,pennylane_qnn,42,"XLB,XLC,XLE","XLB,XLC,XLE",True
split_03_2019-03,2019-03-21,pennylane_qnn,42,"XLB,XLC,XLE","XLB,XLC,XLE",True
split_03_2019-03,2019-03-28,pennylane_qnn,42,"XLB,XLC,XLE","XLB,XLC,XLE",True
split_00_2018-12,2018-12-07,random_forest,42,"XLI,XLC,XLB","XLI,XLC,XLB",True
split_00_2018-12,2018-12-14,random_forest,42,"XLI,XLC,XLV","XLI,XLC,XLV",True
split_00_2018-12,2018-12-21,random_forest,42,"XLV,XLRE,XLI","XLV,XLRE,XLI",True
split_00_2018-12,2018-12-31,random_forest,42,"XLU,XLP,XLK","XLU,XLP,XLK",True
split_01_2019-01,2019-01-08,random_forest,42,"XLU,XLB,XLY","XLU,XLB,XLY",True
split_01_2019-01,2019-01-15,random_forest,42,"XLU,XLF,XLI","XLU,XLF,XLI",True
split_01_2019-01,2019-01-23,random_forest,42,"XLI,XLY,XLB","XLI,XLY,XLB",True
split_01_2019-01,2019-01-30,random_forest,42,"XLB,XLRE,XLP","XLB,XLRE,XLP",True
split_02_2019-02,2019-02-06,random_forest,42,"XLK,XLF,XLC","XLK,XLF,XLC",True
split_02_2019-02,2019-02-13,random_forest,42,"XLE,XLC,XLP","XLE,XLC,XLP",True
split_02_2019-02,2019-02-21,random_forest,42,"XLP,XLRE,XLF","XLP,XLRE,XLF",True
split_02_2019-02,2019-02-28,random_forest,42,"XLRE,XLK,XLF","XLRE,XLK,XLF",True
split_03_2019-03,2019-03-07,random_forest,42,"XLU,XLRE,XLY","XLU,XLRE,XLY",True
split_03_2019-03,2019-03-14,random_forest,42,"XLF,XLRE,XLK","XLF,XLRE,XLK",True
split_03_2019-03,2019-03-21,random_forest,42,"XLC,XLP,XLB","XLC,XLP,XLB",True
split_03_2019-03,2019-03-28,random_forest,42,"XLE,XLV,XLK","XLE,XLV,XLK",True
split_00_2018-12,2018-12-07,rbf_svm,42,"XLU,XLY,XLK","XLU,XLY,XLK",True
split_00_2018-12,2018-12-14,rbf_svm,42,"XLU,XLY,XLK","XLU,XLY,XLK",True
split_00_2018-12,2018-12-21,rbf_svm,42,"XLK,XLY,XLC","XLK,XLY,XLC",True
split_00_2018-12,2018-12-31,rbf_svm,42,"XLK,XLU,XLY","XLK,XLU,XLY",True
split_01_2019-01,2019-01-08,rbf_svm,42,"XLF,XLP,XLY","XLF,XLP,XLY",True
split_01_2019-01,2019-01-15,rbf_svm,42,"XLB,XLI,XLU","XLB,XLI,XLU",True
split_01_2019-01,2019-01-23,rbf_svm,42,"XLE,XLI,XLY","XLE,XLI,XLY",True
split_01_2019-01,2019-01-30,rbf_svm,42,"XLF,XLP,XLU","XLF,XLP,XLU",True
split_02_2019-02,2019-02-06,rbf_svm,42,"XLI,XLP,XLF","XLI,XLP,XLF",True
split_02_2019-02,2019-02-13,rbf_svm,42,"XLB,XLC,XLK","XLB,XLC,XLK",True
split_02_2019-02,2019-02-21,rbf_svm,42,"XLB,XLK,XLRE","XLB,XLK,XLRE",True
split_02_2019-02,2019-02-28,rbf_svm,42,"XLV,XLRE,XLF","XLV,XLRE,XLF",True
split_03_2019-03,2019-03-07,rbf_svm,42,"XLE,XLI,XLP","XLE,XLI,XLP",True
split_03_2019-03,2019-03-14,rbf_svm,42,"XLC,XLI,XLY","XLC,XLI,XLY",True
split_03_2019-03,2019-03-21,rbf_svm,42,"XLF,XLV,XLE","XLF,XLV,XLE",True
split_03_2019-03,2019-03-28,rbf_svm,42,"XLC,XLU,XLV","XLC,XLU,XLV",True
split_00_2018-12,2018-12-07,ridge_linear,42,"XLK,XLY,XLV","XLK,XLY,XLV",True
split_00_2018-12,2018-12-14,ridge_linear,42,"XLV,XLK,XLE","XLV,XLK,XLE",True
split_00_2018-12,2018-12-21,ridge_linear,42,"XLK,XLC,XLY","XLK,XLC,XLY",True
split_00_2018-12,2018-12-31,ridge_linear,42,"XLU,XLRE,XLC","XLU,XLRE,XLC",True
split_01_2019-01,2019-01-08,ridge_linear,42,"XLF,XLE,XLV","XLF,XLE,XLV",True
split_01_2019-01,2019-01-15,ridge_linear,42,"XLB,XLI,XLE","XLB,XLI,XLE",True
split_01_2019-01,2019-01-23,ridge_linear,42,"XLE,XLB,XLC","XLE,XLB,XLC",True
split_01_2019-01,2019-01-30,ridge_linear,42,"XLF,XLP,XLU","XLF,XLP,XLU",True
split_02_2019-02,2019-02-06,ridge_linear,42,"XLC,XLRE,XLE","XLC,XLRE,XLE",True
split_02_2019-02,2019-02-13,ridge_linear,42,"XLU,XLC,XLK","XLU,XLC,XLK",True
split_02_2019-02,2019-02-21,ridge_linear,42,"XLE,XLC,XLV","XLE,XLC,XLV",True
split_02_2019-02,2019-02-28,ridge_linear,42,"XLB,XLE,XLY","XLB,XLE,XLY",True
split_03_2019-03,2019-03-07,ridge_linear,42,"XLY,XLF,XLK","XLY,XLF,XLK",True
split_03_2019-03,2019-03-14,ridge_linear,42,"XLB,XLC,XLI","XLB,XLC,XLI",True
split_03_2019-03,2019-03-21,ridge_linear,42,"XLF,XLV,XLE","XLF,XLV,XLE",True
split_03_2019-03,2019-03-28,ridge_linear,42,"XLU,XLC,XLV","XLU,XLC,XLV",True
split_00_2018-12,2018-12-07,small_mlp,42,"XLV,XLRE,XLY","XLV,XLRE,XLY",True
split_00_2018-12,2018-12-14,small_mlp,42,"XLV,XLP,XLE","XLV,XLP,XLE",True
split_00_2018-12,2018-12-21,small_mlp,42,"XLC,XLK,XLU","XLC,XLK,XLU",True
split_00_2018-12,2018-12-31,small_mlp,42,"XLU,XLRE,XLC","XLU,XLRE,XLC",True
split_01_2019-01,2019-01-08,small_mlp,42,"XLF,XLP,XLI","XLF,XLP,XLI",True
split_01_2019-01,2019-01-15,small_mlp,42,"XLB,XLI,XLU","XLB,XLI,XLU",True
split_01_2019-01,2019-01-23,small_mlp,42,"XLE,XLB,XLC","XLE,XLB,XLC",True
split_01_2019-01,2019-01-30,small_mlp,42,"XLF,XLU,XLP","XLF,XLU,XLP",True
split_02_2019-02,2019-02-06,small_mlp,42,"XLC,XLRE,XLE","XLC,XLRE,XLE",True
split_02_2019-02,2019-02-13,small_mlp,42,"XLU,XLC,XLK","XLU,XLC,XLK",True
split_02_2019-02,2019-02-21,small_mlp,42,"XLE,XLC,XLV","XLE,XLC,XLV",True
split_02_2019-02,2019-02-28,small_mlp,42,"XLB,XLE,XLY","XLB,XLE,XLY",True
split_03_2019-03,2019-03-07,small_mlp,42,"XLY,XLF,XLK","XLY,XLF,XLK",True
split_03_2019-03,2019-03-14,small_mlp,42,"XLB,XLC,XLI","XLB,XLC,XLI",True
split_03_2019-03,2019-03-21,small_mlp,42,"XLF,XLV,XLE","XLF,XLV,XLE",True
split_03_2019-03,2019-03-28,small_mlp,42,"XLU,XLC,XLV","XLU,XLC,XLV",True
split_00_2018-12,2018-12-07,xgboost,42,"XLC,XLF,XLB","XLC,XLF,XLB",True
split_00_2018-12,2018-12-14,xgboost,42,"XLI,XLC,XLF","XLI,XLC,XLF",True
split_00_2018-12,2018-12-21,xgboost,42,"XLV,XLRE,XLF","XLV,XLRE,XLF",True
split_00_2018-12,2018-12-31,xgboost,42,"XLU,XLP,XLC","XLU,XLP,XLC",True
split_01_2019-01,2019-01-08,xgboost,42,"XLI,XLU,XLY","XLI,XLU,XLY",True
split_01_2019-01,2019-01-15,xgboost,42,"XLU,XLRE,XLE","XLU,XLRE,XLE",True
split_01_2019-01,2019-01-23,xgboost,42,"XLP,XLK,XLU","XLP,XLK,XLU",True
split_01_2019-01,2019-01-30,xgboost,42,"XLV,XLRE,XLB","XLV,XLRE,XLB",True
split_02_2019-02,2019-02-06,xgboost,42,"XLK,XLC,XLP","XLK,XLC,XLP",True
split_02_2019-02,2019-02-13,xgboost,42,"XLE,XLC,XLB","XLE,XLC,XLB",True
split_02_2019-02,2019-02-21,xgboost,42,"XLP,XLRE,XLE","XLP,XLRE,XLE",True
split_02_2019-02,2019-02-28,xgboost,42,"XLRE,XLK,XLV","XLRE,XLK,XLV",True
split_03_2019-03,2019-03-07,xgboost,42,"XLU,XLRE,XLY","XLU,XLRE,XLY",True
split_03_2019-03,2019-03-14,xgboost,42,"XLF,XLRE,XLK","XLF,XLRE,XLK",True
split_03_2019-03,2019-03-21,xgboost,42,"XLC,XLY,XLV","XLC,XLY,XLV",True
split_03_2019-03,2019-03-28,xgboost,42,"XLE,XLV,XLC","XLE,XLV,XLC",True
